habitat	treeID	date	pointID	plant_species	wet_mass_g	dry_mass_g	N_leaves	dist_obs_m	slope_deg	height	observer	height_eyes_m
invaded	L51L4	18-12-23	L51	Ligustrum_lucidum	1.37	0.207	5	7.48	135	9.03	Facu	1.55
invaded	L51L5	18-12-23	L51	Ligustrum_lucidum	3.47	0.756	5	6.98	142	10.48	Facu	1.55
invaded	L51P1	18-12-23	L51	Melia_azedarach	NA	NA	NA	7.8	132	8.57	Facu	1.55
invaded	L52AL1	18-12-23	L52	Populus_alba	5.66	1.831	5	10.1	144	15.45	Facu	1.55
invaded	L52CA1	18-12-23	L52	Catalpa_speciosa	20.18	5.111	3	10.45	131	10.63	Facu	1.55
invaded	L52E1	18-12-23	L52	Eucalyptus_sp	1.24	0.404	5	10.91	133	11.72	Facu	1.55
invaded	L52L1	18-12-23	L52	Ligustrum_lucidum	4.09	1.001	5	8.94	140	12.2	Facu	1.55
invaded	L52L2	18-12-23	L52	Ligustrum_lucidum	2.63	0.653	5	6.69	137	8.72	Facu	1.55
invaded	L52L3	18-12-23	L52	Ligustrum_lucidum	4.09	0.9	5	7.67	140	10.69	Facu	1.55
invaded	L52L4	18-12-23	L52	Ligustrum_lucidum	4.59	0.976	5	9.93	140	13.38	Facu	1.55
invaded	L52L5	18-12-23	L52	Ligustrum_lucidum	1.59	0.368	5	7.71	130	8.02	Facu	1.55
invaded	L53E1	18-12-23	L53	Eucalyptus_sp	NA	NA	NA	8.29	145	13.39	Facu	1.55
invaded	L53E2	18-12-23	L53	Eucalyptus_sp	NA	NA	NA	8.32	156	20.24	Facu	1.55
invaded	L53E3	18-12-23	L53	Eucalyptus_sp	NA	NA	NA	10.12	152	20.58	Facu	1.55
invaded	L53E4	18-12-23	L53	Eucalyptus_sp	NA	NA	NA	8.43	142	12.34	Facu	1.55
invaded	L53E5	18-12-23	L53	Eucalyptus_sp	NA	NA	NA	10.9	146	17.71	Facu	1.55
invaded	L5F1	27-7-23	L5	Fraxinus_sp	NA	NA	NA	5.65	148	10.57	Agus	1.53
invaded	L5F2	27-7-23	L5	Fraxinus_sp	NA	NA	NA	7.54	150	14.59	Agus	1.53
invaded	L5F3	27-7-23	L5	Fraxinus_sp	NA	NA	NA	4.04	163	14.74	Agus	1.53
invaded	L5L1	27-7-23	L5	Ligustrum_lucidum	NA	NA	NA	3.31	152	7.76	Agus	1.53
